"url","status","finalUrl","indexable","templateType","title","canonical","robots","h1Count","jsonldCount"
"https://thenitishkr.in/about","200","https://thenitishkr.in/about","True","core-page","Who is Nitish Kumar (thenitishkr) | Researcher, Author, DISHA Inventor","https://thenitishkr.in/about","index, follow, max-image-preview:large","1","3"
"https://thenitishkr.in/article-12","200","https://thenitishkr.in/article-12","True","core-page","Article 12 Digital State Power | Constitutional Accountability Research","https://thenitishkr.in/article-12","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/books","200","https://thenitishkr.in/books","True","core-page","Era of Stupidity and Sleeping Guardian | Books by Nitish Kumar","https://thenitishkr.in/books","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/digital-constitutional-personhood","200","https://thenitishkr.in/digital-constitutional-personhood","True","core-page","Digital Constitutional Personhood | Data Sovereignty Framework India","https://thenitishkr.in/digital-constitutional-personhood","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/disha","200","https://thenitishkr.in/disha","True","core-page","DISHA Intelligence Architecture | Nitish Kumar (thenitishkr)","https://thenitishkr.in/disha","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/","200","https://thenitishkr.in/","True","home","Nitish Kumar (thenitishkr) | National Cyber Security Scholar","https://thenitishkr.in/","index, follow, max-image-preview:large","1","4"
"https://thenitishkr.in/intelligence","200","https://thenitishkr.in/intelligence","True","case-index","DISHA Intelligence Archive | W.P. (Crl.) No. 394/2025 Case Files","https://thenitishkr.in/intelligence","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/intelligence-bihar-minister-constitutional-question","200","https://thenitishkr.in/intelligence-bihar-minister-constitutional-question","True","intelligence-case","Bihar Minister / Constitutional Question | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-bihar-minister-constitutional-question","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-cpgrams-closure-without-relief","200","https://thenitishkr.in/intelligence-cpgrams-closure-without-relief","True","intelligence-case","CPGRAMS / Closure Without Relief | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-cpgrams-closure-without-relief","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-district-jamui-bihar","200","https://thenitishkr.in/intelligence-district-jamui-bihar","True","intelligence-case","District Jamui, Bihar / Local Administrative Record | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-district-jamui-bihar","index, follow, max-image-preview:large","1","1"
